# Rime user dictionary
#@/db_name	wubi86.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	3375
#@/user_id	d1b2c03e-7ddb-4b91-be3d-a9075c113920
lkfa 	加载	c=2 d=0.25924 t=3375
lkfc 	回去	c=1 d=1 t=3375
lktj 	回复	c=2 d=1.53717 t=3375
lkty 	加入	c=1 d=0.115903 t=3375
llww 	男人	c=1 d=1 t=3375
lp 	边	c=1 d=0.644036 t=3375
lpk 	连	c=1 d=0.201897 t=3375
lpru 	连接	c=1 d=0.491644 t=3375
lqw 	软	c=1 d=0.163654 t=3375
lqwr 	软件	c=1 d=0.165299 t=3375
lscw 	困难	c=2 d=0.0553883 t=3375
ltu 	图	c=2 d=0.975348 t=3375
lwbm 	输出	c=1 d=1 t=3375
lwif 	办法	c=2 d=1.91851 t=3375
lwty 	输入	c=7 d=2.49673 t=3375
ma 	曲	c=10 d=4.28813 t=3375
mck 	贻	c=1 d=0.18452 t=3375
mdf 	岩	c=1 d=1 t=3375
mee 	崩	c=1 d=0.909373 t=3375
mfk 	周	c=1 d=1 t=3375
mggk 	同事	c=1 d=0.0409665 t=3375
mghi 	同步	c=1 d=0.810584 t=3375
mgjf 	同时	c=3 d=1 t=3375
mi 	峭	c=1 d=0.847894 t=3375
mmmm 	山	c=1 d=0.965605 t=3375
mq 	风	c=1 d=0.0507928 t=3375
mqj 	刚	c=1 d=0.208045 t=3375
mqjq 	网易	c=2 d=0.342391 t=3375
mqmq 	刚刚	c=1 d=0.364219 t=3375
mqq 	网	c=1 d=1 t=3375
mqrp 	风控	c=3 d=0.25047 t=3375
mtd 	峰	c=1 d=0.484325 t=3375
mwdh 	内存	c=1 d=1 t=3375
n 	民	c=1 d=0.496585 t=3375
nafi 	展示	c=2 d=0.00304703 t=3375
naip 	异常	c=2 d=1 t=3375
nat 	懂	c=1 d=1 t=3365
ncf 	怪	c=1 d=0.292293 t=3375
nda 	惰	c=1 d=0.666977 t=3375
ne 	忣	c=2 d=1.05155 t=3375
nguk 	情况	c=8 d=1.5748 t=3375
nhgc 	收到	c=2 d=1 t=3375
nnde 	已有	c=1 d=0.141564 t=3375
ntce 	性能	c=4 d=0.786585 t=3375
ntdm 	发布	c=7 d=0.00887441 t=3375
ntg 	性	c=5 d=0.336177 t=3375
ntxw 	发给	c=1 d=0.839457 t=3375
nua 	屏	c=1 d=0.516851 t=3375
nuaj 	屏幕	c=1 d=0.211189 t=3375
ny 	心	c=1 d=0.263158 t=3375
o 	为	c=12 d=1.87876 t=3375
od 	类	c=3 d=1.46101 t=3375
odga 	类型	c=8 d=3.15744 t=3375
ogtl 	业务	c=5 d=0.302123 t=3375
op 	迷	c=1 d=0.00360656 t=3375
ovpb 	数字	c=2 d=1.42021 t=3375
ovrn 	数据	c=12 d=4.26028 t=3375
ovxe 	数组	c=1 d=0.472367 t=3375
p 	这	c=42 d=8.26111 t=3375
pam 	宽	c=5 d=0.920515 t=3375
pbma 	字典	c=13 d=4.52813 t=3375
pbtw 	字符	c=2 d=1.99005 t=3375
pfdn 	完成	c=10 d=0.0709619 t=3375
pfwg 	完全	c=2 d=0.470642 t=3375
pg 	定	c=10 d=0.814647 t=3375
pgn 	写	c=3 d=0.999186 t=3375
pgrm 	定制	c=2 d=0.591942 t=3375
pgwu 	定位	c=11 d=1.72821 t=3375
pgy 	宝	c=1 d=0.189191 t=3375
pgyq 	定义	c=1 d=1 t=3375
pj 	审	c=1 d=0.923116 t=3375
pjsy 	审核	c=1 d=0.109701 t=3375
po 	灾	c=1 d=0.000184106 t=3375
ppue 	之前	c=1 d=0.394554 t=3375
ppuj 	之间	c=1 d=0.400517 t=3375
pr 	宾	c=1 d=0.207008 t=3375
pud 	实	c=1 d=0.251579 t=3375
pugm 	实现	c=6 d=0.342422 t=3375
puhc 	被	c=2 d=1 t=3375
pw 	空	c=1 d=0.628135 t=3375
pwa 	空	c=1 d=0.67032 t=3375
px 	它	c=1 d=1 t=3375
pyjh 	神	c=1 d=0.244143 t=3375
q 	我	c=74 d=11.8185 t=3375
qaj 	错	c=1 d=0.865022 t=3375
qayk 	错误	c=3 d=0.869358 t=3375
qdrg 	然后	c=1 d=0.486752 t=3375
qer 	觚	c=1 d=0.179964 t=3375
qera 	触摸	c=1 d=0.180866 t=3375
qerg 	邂逅	c=1 d=0.481909 t=3375
qg 	钱	c=2 d=1.1707 t=3375
qhdm 	外面	c=1 d=1 t=3375
qimt 	销账	c=2 d=1.84163 t=3375
qip 	迩	c=2 d=1.59937 t=3375
qj 	旬	c=3 d=2.50891 t=3375
qkpb 	名字	c=1 d=0.264477 t=3375
qkqq 	够	c=1 d=0.246597 t=3375
qn 	包	c=1 d=0.00240549 t=3375
qnkm 	馈	c=1 d=0.913931 t=3375
qnuf 	包装	c=1 d=0.474734 t=3375
qny 	鈊	c=1 d=1 t=3375
qp 	锭	c=1 d=0.40657 t=3375
qq 	多	c=5 d=0.75455 t=3375
qqqq 	金	c=3 d=1.68312 t=3375
qtyp 	狼毫	c=5 d=1.50928 t=3375
qu 	匀	c=1 d=1 t=3375
qvbc 	争取	c=1 d=0.0116786 t=3375
qvn 	急	c=1 d=1 t=3375
qvte 	键盘	c=1 d=0.17552 t=3375
qyde 	留有	c=1 d=1 t=3375
qyy 	鈫	c=1 d=0.218712 t=3375
r 	的	c=183 d=18.396 t=3375
ra 	找	c=2 d=0.905425 t=3375
ragc 	找到	c=2 d=1.18025 t=3375
ravf 	搭建	c=1 d=0.000710174 t=3375
rcn 	把	c=1 d=0.436049 t=3375
rdgq 	排列	c=7 d=1.8957 t=3375
rfsy 	技术	c=1 d=0.100259 t=3375
rg 	后	c=4 d=0.955997 t=3375
rgck 	后台	c=3 d=0.00431104 t=3375
rh 	年	c=1 d=0.562705 t=3375
rhbc 	攫取	c=1 d=0.218712 t=3375
rhf 	看	c=2 d=1.41895 t=3375
rhrh 	看看	c=1 d=1 t=3375
rhyc 	爬	c=2 d=0.463638 t=3375
rjny 	担心	c=1 d=0.895834 t=3375
rjta 	提升	c=2 d=0.0647743 t=3375
rjuq 	提交	c=4 d=1.41509 t=3375
rjym 	提高	c=1 d=0.00124328 t=3375
rkwt 	操作	c=1 d=0.000587285 t=3375
rmuq 	投资	c=2 d=0.00499194 t=3375
rn 	所	c=5 d=0.884242 t=3375
rnc 	氢	c=1 d=0.431711 t=3375
rnde 	所有	c=10 d=1.27374 t=3375
rnfi 	所示	c=1 d=0.591555 t=3375
rov 	搂	c=1 d=0.543351 t=3375
rpjv 	按照	c=1 d=0.00519697 t=3375
rpqw 	按铃	c=1 d=0.181772 t=3375
rprm 	控制	c=1 d=1 t=3375
rpv 	按	c=3 d=0.494188 t=3375
rpw 	控	c=2 d=0.298197 t=3375
rpwa 	控	c=1 d=0.0510474 t=3375
rpwy 	按住	c=1 d=0.299692 t=3375
rq 	换	c=1 d=0.280832 t=3375
rreu 	折腾	c=1 d=0.465334 t=3375
rrwv 	拆分	c=5 d=3.74221 t=3375
rsga 	打开	c=4 d=2.20304 t=3375
rt 	手	c=1 d=0.121846 t=3375
rtfc 	手动	c=2 d=0.980199 t=3375
rtsm 	手机	c=1 d=0.362402 t=3375
ru 	拉	c=2 d=0.34669 t=3375
rua 	拼	c=1 d=1 t=3375
rud 	搓	c=2 d=1.0389 t=3375
rudh 	撯	c=1 d=0.527292 t=3375
ruep 	接受	c=1 d=1 t=3375
ruty 	接入	c=7 d=0.368146 t=3375
ruud 	接着	c=1 d=0.631284 t=3375
ruv 	接	c=1 d=0.524663 t=3375
rvbm 	抛出	c=1 d=1 t=3375
rvqt 	搜狗	c=1 d=0.65377 t=3375
rwad 	推荐	c=1 d=0.249075 t=3375
rwmt 	失败	c=1 d=0.000662162 t=3375
rwyg 	推	c=2 d=0.423162 t=3375
rxpg 	指定	c=1 d=1 t=3375
ryn 	护	c=2 d=0.787259 t=3375
rypg 	搞定	c=1 d=0.0212797 t=3375
ryyc 	扩充	c=1 d=1 t=3375
sb 	李	c=1 d=0.20089 t=3375
sehk 	极点	c=3 d=0.67643 t=3375
sfi 	标	c=1 d=0.831104 t=3375
sg 	本	c=1 d=0.00382958 t=3375
sge 	酹	c=1 d=0.99005 t=3375
sgrm 	配制	c=5 d=1.64345 t=3375
sgtk 	酷	c=2 d=0.404835 t=3375
sgtm 	本身	c=1 d=0.66365 t=3375
sgwg 	配合	c=3 d=1.08001 t=3375
shcf 	相对	c=1 d=0.000315927 t=3375
shn 	想	c=4 d=1.2453 t=3375
shux 	相背	c=3 d=1.84789 t=3375
sk 	可	c=25 d=7.48235 t=3375
skce 	可能	c=8 d=1.40274 t=3375
sket 	可用	c=1 d=0.367879 t=3375
skny 	可以	c=4 d=2.00538 t=3375
sksk 	哥	c=8 d=3.3681 t=3375
skyf 	可读	c=1 d=0.213312 t=3375
so 	杰	c=1 d=0.202909 t=3375
stt 	覆	c=1 d=1 t=3375
stug 	覆盖	c=1 d=1 t=3375
su 	样	c=14 d=5.15658 t=3375
suaa 	样式	c=1 d=1 t=3375
sud 	样	c=1 d=0.000148489 t=3375
sv 	要	c=5 d=2.28186 t=3375
svrn 	根据	c=1 d=0.00486835 t=3375
svyx 	概率	c=1 d=0.499074 t=3375
t 	和	c=5 d=1.8463 t=3375
ta 	长	c=2 d=0.0135774 t=3375
taya 	长度	c=1 d=0.311923 t=3375
tc 	么	c=3 d=0.914525 t=3375
tdgu 	短	c=2 d=0.111724 t=3375
tdkj 	智	c=1 d=1 t=3375
tdut 	知道	c=2 d=0.926519 t=3375
temc 	般	c=1 d=0.0207543 t=3375
tf 	行	c=1 d=0.970446 t=3375
tfdn 	千万	c=2 d=0.444858 t=3375
tffu 	等	c=3 d=2.35428 t=3375
tfq 	先	c=5 d=3.74621 t=3375
tfqi 	行销	c=1 d=0.826959 t=3375
tfyr 	告诉	c=1 d=0.603506 t=3375
tg 	生	c=1 d=0.477114 t=3375
tguf 	重装	c=1 d=0.951229 t=3375
tgus 	重新	c=3 d=1.35992 t=3375
thd 	自	c=1 d=0.637628 t=3375
thfc 	自动	c=3 d=2.8883 t=3375
thnn 	自己	c=6 d=1.63855 t=3375
thtc 	怎么	c=1 d=0.410656 t=3375
thtf 	自行	c=1 d=1 t=3375
tj 	得	c=1 d=0.509156 t=3375
tjuw 	利益	c=2 d=0.010009 t=3375
tjvs 	复杂	c=1 d=0.0204453 t=3375
tkyc 	程序	c=10 d=1.57251 t=3375
tm 	向	c=3 d=2.32133 t=3375
tmgt 	微	c=1 d=0.831104 t=3375
tqf 	衔	c=3 d=1.81849 t=3375
tqfc 	移动	c=1 d=0.412714 t=3375
tqpg 	稳定	c=7 d=0.637997 t=3375
tqq 	移	c=1 d=0.612626 t=3375
trf 	特	c=1 d=0.97531 t=3375
trgq 	特殊	c=1 d=0.00442715 t=3375
tuuj 	简单	c=8 d=1 t=3375
tuuk 	简况	c=1 d=0.00037447 t=3375
tve 	很	c=9 d=3.60765 t=3375
tvqq 	很多	c=1 d=0.543351 t=3375
tx 	第	c=1 d=0.744532 t=3375
txwh 	每个	c=1 d=0.852144 t=3375
txxt 	穖	c=1 d=0.826959 t=3375
txxy 	系统	c=3 d=1.93575 t=3375
type 	籇	c=1 d=0.292293 t=3375
ua 	并	c=5 d=2.19712 t=3375
uaeg 	并且	c=7 d=1 t=3375
udh 	着	c=2 d=0.675085 t=3375
udm 	羰	c=1 d=0.985112 t=3375
udsm 	关机	c=1 d=0.99005 t=3375
udtx 	关系	c=1 d=0.404542 t=3375
ue 	前	c=2 d=0.00279973 t=3375
uerg 	前后	c=1 d=0.00128757 t=3375
ueum 	前端	c=5 d=0.00842821 t=3375
ufgd 	半天	c=1 d=0.467666 t=3375
uj 	间	c=1 d=0.0118551 t=3375
ujf 	音	c=1 d=1 t=3375
ujln 	意思	c=3 d=0.867653 t=3375
ujsh 	意想	c=4 d=0.69715 t=3375
uk 	部	c=1 d=0.869358 t=3375
ukd 	问	c=1 d=0.878095 t=3375
ukgj 	总理	c=1 d=0.147342 t=3375
ukjg 	问题	c=24 d=3.32851 t=3375
ukuq 	兑奖	c=1 d=0.292293 t=3375
ukwv 	部分	c=9 d=0.114646 t=3375
uplp 	旁边	c=1 d=0.386741 t=3375
uqf 	将	c=3 d=1.08422 t=3375
uqfg 	将士	c=1 d=0.532592 t=3375
uqgo 	将来	c=2 d=1.16971 t=3375
uqjq 	交易	c=7 d=1.81341 t=3375
uqw 	次	c=3 d=1.0435 t=3375
uqyx 	效率	c=2 d=0.264872 t=3375
